page_ptr	id	path	depth	numchild	title	draft_title	slug	content_type	live	has_unpublished_changes	url_path	owner	seo_title	show_in_menus	search_description	go_live_at	expire_at	expired	locked	first_published_at	last_published_at	latest_revision_created_at	live_revision	principal_investigator	description	name	start_date	end_date	budget	funding_agency	funding_agency_link	project_type	alt_PI_text
1053	1053	0001000100030003003T	5	0	UKIERI travel grant under thematic partnership in low carbon materials technologies, innovations, and applications	UKIERI travel grant under thematic partnership in low carbon materials technologies, innovations, and applications	136	16	1	0	/mech/research/projects/136/			0				0	0						Co Investigator(s) : Dr. N. Sahoo	UKIERI travel grant under thematic partnership in low carbon materials technologies, innovations, and applications	2011-01-01	2014-01-01	2.2	UKIERI		1	Dr. R. G. Narayanan
1054	1054	0001000100030003003U	5	0	Preparation of Lab Manual for strength of material Lab of Mechanical Engineering Department	Preparation of Lab Manual for strength of material Lab of Mechanical Engineering Department	137	16	1	0	/mech/research/projects/137/			0				0	0						Co Investigator(s) : India Lead: Prof. Madhusudhan Chakraborty, IIT Bhubaneshwar; UK Lead: Prof. Richard Dashwood, University of Warwick, UK	Preparation of Lab Manual for strength of material Lab of Mechanical Engineering Department	2011-01-01	2012-01-01	0	IITG		1	Dr. P. Biswas
1055	1055	0001000100030003003V	5	0	Numerical simulations of unsteady, incompressible viscous flows using a Finite Volume-Immersed Boundary approach	Numerical simulations of unsteady, incompressible viscous flows using a Finite Volume-Immersed Boundary approach	138	16	1	0	/mech/research/projects/138/			0				0	0						Co Investigator(s) : Dr. K. S. R. K. Murthy	Numerical simulations of unsteady, incompressible viscous flows using a Finite Volume-Immersed Boundary approach	2011-01-01	2013-01-01	5	IITG		1	Dr. G. Natarajan
1056	1056	0001000100030003003W	5	0	Numerical and Experimental Study on Residual Stress and Distortion Control of Welded Structures	Numerical and Experimental Study on Residual Stress and Distortion Control of Welded Structures	139	16	1	0	/mech/research/projects/139/			0				0	0							Numerical and Experimental Study on Residual Stress and Distortion Control of Welded Structures	2011-01-01	2013-01-01	5	IITG		1	Dr. P. Biswas
1057	1057	0001000100030003003X	5	0	Mechanization of FCI Godown Operations	Mechanization of FCI Godown Operations	140	16	1	0	/mech/research/projects/140/			0				0	0							Mechanization of FCI Godown Operations	2011-01-01	2013-01-01	34.25	FCI		1	Dr. S. N. Joshi
1058	1058	0001000100030003003Y	5	0	Development of turbulent transport model in autogeneous fusion welding process	Development of turbulent transport model in autogeneous fusion welding process	141	16	1	0	/mech/research/projects/141/			0				0	0						Co Investigator(s) : Dr. S. D. Kore	Development of turbulent transport model in autogeneous fusion welding process	2011-01-01	2013-01-01	5	IITG		1	Dr. S. Bag
1059	1059	0001000100030003003Z	5	0	Development of a 1-D Thermal Hydraulic Code for	Development of a 1-D Thermal Hydraulic Code for	142	16	1	0	/mech/research/projects/142/			0				0	0							Development of a 1-D Thermal Hydraulic Code for	2011-01-01	2014-01-01	12	AERB		1	Dr. M. Pandey
1060	1060	00010001000300030040	5	0	Design of a 25 kWe Pressurized Circulating Fluidized Bed Unit 	Design of a 25 kWe Pressurized Circulating Fluidized Bed Unit 	143	16	1	0	/mech/research/projects/143/			0				0	0							Design of a 25 kWe Pressurized Circulating Fluidized Bed Unit 	2011-01-01	2014-01-01	35.7	CPRI		1	Dr. P. Mahanta
1061	1061	00010001000300030041	5	0	Design and Development of Digester for Utilization of Lignocellulosic Waste for Biogas Production	Design and Development of Digester for Utilization of Lignocellulosic Waste for Biogas Production	144	16	1	0	/mech/research/projects/144/			0				0	0						Co Investigator(s) : Dr. U. K. Saha, Dr. P. Kalita	Design and Development of Digester for Utilization of Lignocellulosic Waste for Biogas Production	2011-01-01	2014-01-01	9.5	DRL Tezpur		1	Dr. P. Mahanta
1062	1062	00010001000300030042	5	0	Design and Development of Compact Cistern System for Blackwater Reutilization	Design and Development of Compact Cistern System for Blackwater Reutilization	145	16	1	0	/mech/research/projects/145/			0				0	0							Design and Development of Compact Cistern System for Blackwater Reutilization	2011-01-01	2013-01-01	4.98	DRL Tezpur		1	Dr. P. Mahanta
1063	1063	00010001000300030043	5	0	Application of goal-oriented a posteriori error estimation procedures for the accurate computation of mode I stress intensity factors	Application of goal-oriented a posteriori error estimation procedures for the accurate computation of mode I stress intensity factors	146	16	1	0	/mech/research/projects/146/			0				0	0							Application of goal-oriented a posteriori error estimation procedures for the accurate computation of mode I stress intensity factors	2011-01-01	2013-01-01	6.826	ARDB		1	Dr. K. S. R. K. Murthy
1064	1064	00010001000300030044	5	0	Theoretical and Experimental Study of Shape Memory Alloy Wire Actuated Compliant Links	Theoretical and Experimental Study of Shape Memory Alloy Wire Actuated Compliant Links	147	16	1	0	/mech/research/projects/147/			0				0	0							Theoretical and Experimental Study of Shape Memory Alloy Wire Actuated Compliant Links	2010-01-01	2012-01-01	5	IITG		1	Dr. A. Banerjee
1065	1065	00010001000300030045	5	0	Smart damping of geometrically nonlinear vibrations of functionally graded panels under thermal environment using piezoelectric fibre reinforced composites	Smart damping of geometrically nonlinear vibrations of functionally graded panels under thermal environment using piezoelectric fibre reinforced composites	148	16	1	0	/mech/research/projects/148/			0				0	0							Smart damping of geometrically nonlinear vibrations of functionally graded panels under thermal environment using piezoelectric fibre reinforced composites	2010-01-01	2012-01-01	5	IITG		1	Dr. S. Panda
1066	1066	00010001000300030046	5	0	Preparation and characterization of nanofluid to reduce the emission level in a diesel engine	Preparation and characterization of nanofluid to reduce the emission level in a diesel engine	149	16	1	0	/mech/research/projects/149/			0				0	0							Preparation and characterization of nanofluid to reduce the emission level in a diesel engine	2010-01-01	2013-01-01	18.3	DST		1	Dr. S. Kanagaraj
1067	1067	00010001000300030047	5	0	Numerical modeling of impact behavior of electromagnetic welding of sheets	Numerical modeling of impact behavior of electromagnetic welding of sheets	150	16	1	0	/mech/research/projects/150/			0				0	0							Numerical modeling of impact behavior of electromagnetic welding of sheets	2010-01-01	2012-01-01	5	IITG		1	Dr. S. D. Kore
1068	1068	00010001000300030048	5	0	Lattice Boltzmann Modeling of Immiscible Droplet in Micro-channels	Lattice Boltzmann Modeling of Immiscible Droplet in Micro-channels	151	16	1	0	/mech/research/projects/151/			0				0	0							Lattice Boltzmann Modeling of Immiscible Droplet in Micro-channels	2010-01-01	2012-01-01	5	IITG		1	Dr. A. Dalal
1069	1069	00010001000300030049	5	0	Forming behavior of Friction Stir welded blanks made of dissimilar materials	Forming behavior of Friction Stir welded blanks made of dissimilar materials	152	16	1	0	/mech/research/projects/152/			0				0	0							Forming behavior of Friction Stir welded blanks made of dissimilar materials	2010-01-01	2013-01-01	31.09	ARDB		1	Dr. R. G. Narayanan
1070	1070	0001000100030003004A	5	0	Feasibility studies on carbon nanotubes/ ultrahigh molecular weight polyethylene nanocomposites for total joint replacements	Feasibility studies on carbon nanotubes/ ultrahigh molecular weight polyethylene nanocomposites for total joint replacements	153	16	1	0	/mech/research/projects/153/			0				0	0						Co Investigator(s) : Dr. Satish V. Kailas, IISc Bangalore	Feasibility studies on carbon nanotubes/ ultrahigh molecular weight polyethylene nanocomposites for total joint replacements	2010-01-01	2012-01-01	25.5131	DST		1	Dr. S. Kanagaraj
1071	1071	0001000100030003004B	5	0	Fabrication of Cost-effective IPMC actuator as artificial muscle materials for biomedical prosthetic application	Fabrication of Cost-effective IPMC actuator as artificial muscle materials for biomedical prosthetic application	154	16	1	0	/mech/research/projects/154/			0				0	0							Fabrication of Cost-effective IPMC actuator as artificial muscle materials for biomedical prosthetic application	2010-01-01	2013-01-01	18.5	DST		1	Dr. D. Bandopadhya
1072	1072	0001000100030003004C	5	0	Extracting Instantaneous Rotor Field Information for Active Vibration Control of Induction Machines	Extracting Instantaneous Rotor Field Information for Active Vibration Control of Induction Machines	155	16	1	0	/mech/research/projects/155/			0				0	0							Extracting Instantaneous Rotor Field Information for Active Vibration Control of Induction Machines	2010-01-01	2012-01-01	7	IITG		1	Dr. K. Kalita
1073	1073	0001000100030003004D	5	0	Experimental analysis of single spark EDM craters	Experimental analysis of single spark EDM craters	156	16	1	0	/mech/research/projects/156/			0				0	0							Experimental analysis of single spark EDM craters	2010-01-01	2012-01-01	5	IITG		1	Dr. S. N. Joshi
1074	1074	0001000100030003004E	5	0	Development of artificial intelligence based monitoring technique for arc welding application	Development of artificial intelligence based monitoring technique for arc welding application	157	16	1	0	/mech/research/projects/157/			0				0	0							Development of artificial intelligence based monitoring technique for arc welding application	2010-01-01	2013-01-01	5	IITG		1	Dr. S. Pal
1075	1075	0001000100030003004F	5	0	Development and Analysis of Twisted Two-bladed, Two-stage Savonius Rotor for Power Generation	Development and Analysis of Twisted Two-bladed, Two-stage Savonius Rotor for Power Generation	158	16	1	0	/mech/research/projects/158/			0				0	0							Development and Analysis of Twisted Two-bladed, Two-stage Savonius Rotor for Power Generation	2010-01-01	2012-01-01	8.83	ADnENERGY		1	Dr. U. K. Saha
1076	1076	0001000100030003004G	5	0	Design and performance Analysis of Twisted Two-bladed, Two-stage Savonius Rotor for 500W Power Generation	Design and performance Analysis of Twisted Two-bladed, Two-stage Savonius Rotor for 500W Power Generation	159	16	1	0	/mech/research/projects/159/			0				0	0						Co Investigator(s) : Dr. N. Sahoo, Dr. P. Mahanta, Mr. D. Bhagabati	Design and performance Analysis of Twisted Two-bladed, Two-stage Savonius Rotor for 500W Power Generation	2010-01-01	2012-01-01	10.632	ADnEnergy		1	Dr. U. K. Saha
1077	1077	0001000100030003004H	5	0	Non-Fourier Heat Transfer in Complex Materials	Non-Fourier Heat Transfer in Complex Materials	160	16	1	0	/mech/research/projects/160/			0				0	0						Co Investigator(s) : Dr. N. Sahoo	Non-Fourier Heat Transfer in Complex Materials	2009-01-01	2011-01-01	0	Institute of Fluid Science, Tohoku University		1	Dr. S. C. Mishra
1078	1078	0001000100030003004I	5	0	Exploratory studies on electromagnetic welding of tubes	Exploratory studies on electromagnetic welding of tubes	161	16	1	0	/mech/research/projects/161/			0				0	0						Co Investigator(s) : Dr. Shigenao Maruyama	Exploratory studies on electromagnetic welding of tubes	2009-01-01	2012-01-01	0	ARDB		1	Dr. P. P. Date
1079	1079	0001000100030003004J	5	0	DST FIST	DST FIST	162	16	1	0	/mech/research/projects/162/			0				0	0						Co Investigator(s) : Dr. S. D. Kore, Dr. S. V. Kulkarni	DST FIST	2009-01-01	2014-01-01	276	DST		1	Dr. U. S. Dixit
1080	1080	0001000100030003004K	5	0	Direct Numerical Simulations of turbulent Rayleigh-Benard convection: Dynamics of large-scale flow and rotational effects	Direct Numerical Simulations of turbulent Rayleigh-Benard convection: Dynamics of large-scale flow and rotational effects	163	16	1	0	/mech/research/projects/163/			0				0	0						Co Investigator(s) : Dr. R. G. Narayanan	Direct Numerical Simulations of turbulent Rayleigh-Benard convection: Dynamics of large-scale flow and rotational effects	2009-01-01	2012-01-01	5	IITG		1	Dr. A. K. De
1081	1081	0001000100030003004L	5	0	Development of high sensitivity, low cost thin film sensors for heat transfer rate measurement in high speed fluid flows	Development of high sensitivity, low cost thin film sensors for heat transfer rate measurement in high speed fluid flows	164	16	1	0	/mech/research/projects/164/			0				0	0							Development of high sensitivity, low cost thin film sensors for heat transfer rate measurement in high speed fluid flows	2009-01-01	2011-01-01	4.6	IITG		1	Dr. V. Kulkarni
1082	1082	0001000100030003004M	5	0	Development & Deployment of a Virtual Mechanical Vibration Laboratory	Development & Deployment of a Virtual Mechanical Vibration Laboratory	165	16	1	0	/mech/research/projects/165/			0				0	0							Development & Deployment of a Virtual Mechanical Vibration Laboratory	2009-01-01	2014-01-01	103	MHRD		1	Dr. R. Tiwari
1083	1083	0001000100030003004N	5	0	Design, Development and Performance Evaluation of Stress Wave Force Balances for Aerospace Applications	Design, Development and Performance Evaluation of Stress Wave Force Balances for Aerospace Applications	166	16	1	0	/mech/research/projects/166/			0				0	0							Design, Development and Performance Evaluation of Stress Wave Force Balances for Aerospace Applications	2009-01-01	2012-01-01	14.4	DST		1	Dr. N. Sahoo
1084	1084	0001000100030003004O	5	0	Design and Development of an Active Compliant Mechanism for Micromanipulation	Design and Development of an Active Compliant Mechanism for Micromanipulation	167	16	1	0	/mech/research/projects/167/			0				0	0							Design and Development of an Active Compliant Mechanism for Micromanipulation	2009-01-01	2011-01-01	5	IITG		1	Dr. D. Bandopadhya
1085	1085	0001000100030003004P	5	0	Computation of Unsteady Steam-Water Flow and Supercritical	Computation of Unsteady Steam-Water Flow and Supercritical	168	16	1	0	/mech/research/projects/168/			0				0	0							Computation of Unsteady Steam-Water Flow and Supercritical	2009-01-01	2010-01-01	4.6	AERB		1	Dr. M. Pandey
1086	1086	0001000100030003004Q	5	0	An investigation of strain gage method for accurate measurement of the stress intensity factors	An investigation of strain gage method for accurate measurement of the stress intensity factors	169	16	1	0	/mech/research/projects/169/			0				0	0						Co Investigator(s) : Dr. P. Mahanta	An investigation of strain gage method for accurate measurement of the stress intensity factors	2009-01-01	2012-01-01	19	NRB		1	Dr. K. S. R. K. Murthy
1087	1087	0001000100030003004R	5	0	Extracting Instantaneous Rotor Field Information for Active Vibration Control of Electrical Machines	Extracting Instantaneous Rotor Field Information for Active Vibration Control of Electrical Machines	170	16	1	0	/mech/research/projects/170/			0				0	0						Co Investigator(s) : Dr. D. Chakraborty	Extracting Instantaneous Rotor Field Information for Active Vibration Control of Electrical Machines	2008-01-01	2010-01-01	0	The University of Nottingham, Nottingham, UK		1	Dr. K. Kalita
1088	1088	0001000100030003004S	5	0	Forming behavior of Friction Stir Welded blanks	Forming behavior of Friction Stir Welded blanks	171	16	1	0	/mech/research/projects/171/			0				0	0							Forming behavior of Friction Stir Welded blanks	2008-01-01	2011-01-01	16.8	SERC, DST, India		1	Dr. R. G. Narayanan
1089	1089	0001000100030003004T	5	0	Modelling and computation of three dimensional turbulent convective heat transfer for design of energy efficient pin heat exchanger	Modelling and computation of three dimensional turbulent convective heat transfer for design of energy efficient pin heat exchanger	172	16	1	0	/mech/research/projects/172/			0				0	0							Modelling and computation of three dimensional turbulent convective heat transfer for design of energy efficient pin heat exchanger	2008-01-01	2011-01-01	10	DST		1	Dr. P. Mahanta
1090	1090	0001000100030003004U	5	0	Numerical and Experimental Analysis for the Development of a Metal Hydride Based Hydrogen Energy Storage ?????	Numerical and Experimental Analysis for the Development of a Metal Hydride Based Hydrogen Energy Storage ?????	173	16	1	0	/mech/research/projects/173/			0				0	0							Numerical and Experimental Analysis for the Development of a Metal Hydride Based Hydrogen Energy Storage ?????	2008-01-01	2012-01-01	33.45	MNRE		1	Dr. P. Muthukumar
1091	1091	0001000100030003004V	5	0	OPTIMUM DESIGN AND ACTIVE VIBRATION CONTROL OF SMART FRP STRUCTURES ON PARALLEL PLATFORM	OPTIMUM DESIGN AND ACTIVE VIBRATION CONTROL OF SMART FRP STRUCTURES ON PARALLEL PLATFORM	174	16	1	0	/mech/research/projects/174/			0				0	0						Co Investigator(s) : Dr. S. C. Mishra	OPTIMUM DESIGN AND ACTIVE VIBRATION CONTROL OF SMART FRP STRUCTURES ON PARALLEL PLATFORM	2008-01-01	2010-01-01	16.65	DST		1	Dr. D. Chakraborty
1092	1092	0001000100030003004W	5	0	Synthesis of green transportation fuels (Biomass gasification integrated FitcherTropsch)	Synthesis of green transportation fuels (Biomass gasification integrated FitcherTropsch)	175	16	1	0	/mech/research/projects/175/			0				0	0							Synthesis of green transportation fuels (Biomass gasification integrated FitcherTropsch)	2008-01-01	2012-01-01	29	MNRE		1	Dr. P. Mahanta
1093	1093	0001000100030003004X	5	0	Evaluating the tensile properties of Zircaloy 4 material 	Evaluating the tensile properties of Zircaloy 4 material 	176	16	1	0	/mech/research/projects/176/			0				0	0							Evaluating the tensile properties of Zircaloy 4 material 	2008-01-01	2011-01-01	9	AERB		1	Dr. R. G. Narayanan
1094	1094	0001000100030003004Y	5	0	Development of an Efficient Parallel Code for Large-Scale Radiation Modeling	Development of an Efficient Parallel Code for Large-Scale Radiation Modeling	177	16	1	0	/mech/research/projects/177/			0				0	0						Co Investigator(s) : Dr. U. S. Dixit	Development of an Efficient Parallel Code for Large-Scale Radiation Modeling	2008-01-01	2010-01-01	0	DST,MAE		1	Dr. S. C. Mishra
1095	1095	0001000100030003004Z	5	0	Design, development and commercialization of pilot scale circulating fluidized bed ( CFB ) gasifier	Design, development and commercialization of pilot scale circulating fluidized bed ( CFB ) gasifier	178	16	1	0	/mech/research/projects/178/			0				0	0						Co Investigator(s) : Dr. Romano Borchiellini 	Design, development and commercialization of pilot scale circulating fluidized bed ( CFB ) gasifier	2008-01-01	2012-01-01	63	MNRE		1	Dr. P. Mahanta
1096	1096	00010001000300030050	5	0	Design Development and Performance Evaluation of Asymmetric Composite Gears	Design Development and Performance Evaluation of Asymmetric Composite Gears	179	16	1	0	/mech/research/projects/179/			0				0	0							Design Development and Performance Evaluation of Asymmetric Composite Gears	2008-01-01	2011-01-01	19.8	DST		1	Dr. S. Senthilvelan
1097	1097	00010001000300030051	5	0	Building Global Engagements at University of Nottingham for Research	Building Global Engagements at University of Nottingham for Research	180	16	1	0	/mech/research/projects/180/			0				0	0							Building Global Engagements at University of Nottingham for Research	2008-01-01	2010-01-01	4.326	Engineering and Physical Sciences Research Council (EPSRC)		1	Dr. P. Mahanta
1098	1098	00010001000300030052	5	0	Biomass gasification with fluidized bed	Biomass gasification with fluidized bed	181	16	1	0	/mech/research/projects/181/			0				0	0							Biomass gasification with fluidized bed	2008-01-01	2011-01-01	35	MNRE		1	Dr. P. Mahanta
1099	1099	00010001000300030053	5	0	Design and Development of Kerosene stove with porous burner	Design and Development of Kerosene stove with porous burner	182	16	1	0	/mech/research/projects/182/			0				0	0							Design and Development of Kerosene stove with porous burner	2007-01-01	2009-01-01	9.94	PCRA		1	Dr. S. C. Mishra
1100	1100	00010001000300030054	5	0	Design Development and Performance Evaluation of Self-Lubricated Cutting Tools for High Speed Machining	Design Development and Performance Evaluation of Self-Lubricated Cutting Tools for High Speed Machining	183	16	1	0	/mech/research/projects/183/			0				0	0						Co Investigator(s) : Dr. P. Muthukumar	Design Development and Performance Evaluation of Self-Lubricated Cutting Tools for High Speed Machining	2007-01-01	2010-01-01	14.01	ARDB		1	Dr. S. Senthilvelan
1101	1101	00010001000300030055	5	0	Development of a metal hydride based thermal energy storage systems.	Development of a metal hydride based thermal energy storage systems.	184	16	1	0	/mech/research/projects/184/			0				0	0						Co Investigator(s) : Dr. P. S. Robi	Development of a metal hydride based thermal energy storage systems.	2007-01-01	2011-01-01	10.02	DST		1	Dr. P. Muthukumar
1102	1102	00010001000300030056	5	0	Porous Radiant Burners for LPG Cooking Stove	Porous Radiant Burners for LPG Cooking Stove	185	16	1	0	/mech/research/projects/185/			0				0	0							Porous Radiant Burners for LPG Cooking Stove	2007-01-01	2009-01-01	9.94	PCRA		1	Dr. S. C. Mishra
1103	1103	00010001000300030057	5	0	Studies on heat transfer characteristics of nanofluids under horizontal, vertical and inclined flow conditions	Studies on heat transfer characteristics of nanofluids under horizontal, vertical and inclined flow conditions	186	16	1	0	/mech/research/projects/186/			0				0	0						Co Investigator(s) : Dr. P. Muthukumar	Studies on heat transfer characteristics of nanofluids under horizontal, vertical and inclined flow conditions	2007-01-01	2011-01-01	85	Fundacao para a Ciencia e a Tecnologia (FCT), Portugal		1	Dr. S. Kanagaraj
1104	1104	00010001000300030058	5	0	Biogas development and training centre for the north eastern region	Biogas development and training centre for the north eastern region	187	16	1	0	/mech/research/projects/187/			0				0	0							Biogas development and training centre for the north eastern region	2006-01-01	2013-01-01	60	MNRE, New Delhi		1	Dr. P. Mahanta
1105	1105	00010001000300030059	5	0	Development of a multi-fuel cooking stove	Development of a multi-fuel cooking stove	188	16	1	0	/mech/research/projects/188/			0				0	0							Development of a multi-fuel cooking stove	2006-01-01	2008-01-01	2.6	PCRA		1	Dr. P. Mahanta
1106	1106	0001000100030003005A	5	0	Development of a New Technique for Experimental Identification of Beam Crack Parameters	Development of a New Technique for Experimental Identification of Beam Crack Parameters	189	16	1	0	/mech/research/projects/189/			0				0	0							Development of a New Technique for Experimental Identification of Beam Crack Parameters	2006-01-01	2010-01-01	13	Aeronautical R&D Board, Structural Panel		1	Dr. R. Tiwari
1107	1107	0001000100030003005B	5	0	Development of Model to Calculate Radiative Heat Transfer in Fuel Channel of PHWRs	Development of Model to Calculate Radiative Heat Transfer in Fuel Channel of PHWRs	190	16	1	0	/mech/research/projects/190/			0				0	0							Development of Model to Calculate Radiative Heat Transfer in Fuel Channel of PHWRs	2006-01-01	2008-01-01	5	AERB		1	Dr. S. C. Mishra
1108	1108	0001000100030003005C	5	0	Investigation of Instabilities and Nonlinear Dynamics of Advanced Heavy Water Reactor	Investigation of Instabilities and Nonlinear Dynamics of Advanced Heavy Water Reactor	191	16	1	0	/mech/research/projects/191/			0				0	0						Co Investigator(s) : Dr. P. Mahanta	Investigation of Instabilities and Nonlinear Dynamics of Advanced Heavy Water Reactor	2006-01-01	2008-01-01	5.6	AERB		1	Dr. M. Pandey
1109	1109	0001000100030003005D	5	0	Rural Technology Action Group - North-East	Rural Technology Action Group - North-East	192	16	1	0	/mech/research/projects/192/			0				0	0							Rural Technology Action Group - North-East	2006-01-01	2013-01-01	80	Principal Scientific Adviser to the Govt. of India		1	Dr. S. K. Kakoty
1110	1110	0001000100030003005E	5	0	Thermal Analysis of a Graphite Heating Chamber 	Thermal Analysis of a Graphite Heating Chamber 	193	16	1	0	/mech/research/projects/193/			0				0	0							Thermal Analysis of a Graphite Heating Chamber 	2006-01-01	2009-01-01	9.96	DRDL		1	Dr. S. C. Mishra
1111	1111	0001000100030003005F	5	0	Melt processing multi-walled carbon nanotube/high density polyethylene (CNT/HDPE) for orthopaedic implants	Melt processing multi-walled carbon nanotube/high density polyethylene (CNT/HDPE) for orthopaedic implants	194	16	1	0	/mech/research/projects/194/			0				0	0						Co Investigator(s) : Dr. R. Uppaluri	Melt processing multi-walled carbon nanotube/high density polyethylene (CNT/HDPE) for orthopaedic implants	2005-01-01	2008-01-01	0	Fundacao para a Ciencia e a Tecnologia (FCT), Portugal		1	Dr. S. Kanagaraj
1112	1112	0001000100030003005G	5	0	OPTIMIZATION OF LAMINATED FIBRE REINFORCED PLASTIC COMPOSITES ON PARALLEL PLATFORM	OPTIMIZATION OF LAMINATED FIBRE REINFORCED PLASTIC COMPOSITES ON PARALLEL PLATFORM	195	16	1	0	/mech/research/projects/195/			0				0	0							OPTIMIZATION OF LAMINATED FIBRE REINFORCED PLASTIC COMPOSITES ON PARALLEL PLATFORM	2005-01-01	2007-01-01	10.54	DST		1	Dr. D. Chakraborty
1113	1113	0001000100030003005H	5	0	OPTIMUM DESIGN OF LAMINATED FRP COMPOSITE STRUCTURES	OPTIMUM DESIGN OF LAMINATED FRP COMPOSITE STRUCTURES	196	16	1	0	/mech/research/projects/196/			0				0	0							OPTIMUM DESIGN OF LAMINATED FRP COMPOSITE STRUCTURES	2005-01-01	2008-01-01	8	MHRD		1	Dr. D. Chakraborty
1114	1114	0001000100030003005I	5	0	Preparation of Bioactive glass ceramics	Preparation of Bioactive glass ceramics	197	16	1	0	/mech/research/projects/197/			0				0	0							Preparation of Bioactive glass ceramics	2005-01-01	2007-01-01	14.5	BRNS-DAE		1	Dr. A. Srinivasan
1115	1115	0001000100030003005J	5	0	MEMS design center, A.Srinivasan	MEMS design center, A.Srinivasan	198	16	1	0	/mech/research/projects/198/			0				0	0						Co Investigator(s) : Dr. P. S. Robi	MEMS design center, A.Srinivasan	2004-01-01	2006-01-01	12	NPSM		1	Dr. A. Srinivasan
1116	1116	0001000100030003005K	5	0	Development of dedicated facility for the study of clean coal technology using circulating fluidized beds	Development of dedicated facility for the study of clean coal technology using circulating fluidized beds	199	16	1	0	/mech/research/projects/199/			0				0	0						Co Investigator(s) : Dr. P. S. Robi	Development of dedicated facility for the study of clean coal technology using circulating fluidized beds	2003-01-01	2005-01-01	7	MHRD		1	Dr. M. Pandey
1117	1117	0001000100030003005L	5	0	Computer Aided Analysis of High Speed Rolling Element Bearings Based on Elasto-Hydrodynamic Lubrication Theory. 	Computer Aided Analysis of High Speed Rolling Element Bearings Based on Elasto-Hydrodynamic Lubrication Theory. 	200	16	1	0	/mech/research/projects/200/			0				0	0						Co Investigator(s) : Dr. S.V. Prabhu	Computer Aided Analysis of High Speed Rolling Element Bearings Based on Elasto-Hydrodynamic Lubrication Theory. 	2003-01-01	2006-01-01	5	ARDB		1	Dr. R. Tiwari
1118	1118	0001000100030003005M	5	0	Design and development of five-speed automated manual transmission for a mid-sized car	Design and development of five-speed automated manual transmission for a mid-sized car	201	16	1	0	/mech/research/projects/201/			0				0	0							Design and development of five-speed automated manual transmission for a mid-sized car	2003-01-01	2005-01-01	7	MHRD		1	Dr. U. S. Dixit, Dr. A. K. Dass
1119	1119	0001000100030003005N	5	0	Design Fabrication and Control of flexible manipulators	Design Fabrication and Control of flexible manipulators	202	16	1	0	/mech/research/projects/202/			0				0	0						Co Investigator(s) : Dr. S. K. Kakoty	Design Fabrication and Control of flexible manipulators	2003-01-01	2005-01-01	5.5	DST		1	Dr. S. K. Dwivedy
1120	1120	0001000100030003005O	5	0	Earth radiation budget	Earth radiation budget	203	16	1	0	/mech/research/projects/203/			0				0	0						Co Investigator(s) : Dr. U. S. Dixit	Earth radiation budget	2003-01-01	2006-01-01	10	ISRO		1	Dr. P. Mahanta
1121	1121	0001000100030003005P	5	0	Estimation of Earth Radiation Budget??? 	Estimation of Earth Radiation Budget??? 	204	16	1	0	/mech/research/projects/204/			0				0	0							Estimation of Earth Radiation Budget??? 	2003-01-01	2006-01-01	0	ISRO		1	Dr. S. C. Mishra
1122	1122	0001000100030003005Q	5	0	Setting up of Technical Backup Unit at IITG for R & D Interface with Khadi and Village Industries Sector 	Setting up of Technical Backup Unit at IITG for R & D Interface with Khadi and Village Industries Sector 	205	16	1	0	/mech/research/projects/205/			0				0	0						Co Investigator(s) : Dr. P. Mahanta	Setting up of Technical Backup Unit at IITG for R & D Interface with Khadi and Village Industries Sector 	2003-01-01	2008-01-01	26.7	KVIC 		1	Dr. U. K. Saha
1123	1123	0001000100030003005R	5	0	Computation of Two Dimensional Incompressible Viscous Flow through Cascade 	Computation of Two Dimensional Incompressible Viscous Flow through Cascade 	206	16	1	0	/mech/research/projects/206/			0				0	0						Co Investigator(s) : RP, ADS, SKK	Computation of Two Dimensional Incompressible Viscous Flow through Cascade 	2002-01-01	2004-01-01	4.22	ARDB		1	Dr. Manab K. Das
1124	1124	0001000100030003005S	5	0	Design and Development of a High Performance Biogas Digester for the N-E Region of India 	Design and Development of a High Performance Biogas Digester for the N-E Region of India 	207	16	1	0	/mech/research/projects/207/			0				0	0						Co Investigator(s) : Dr. U. K. Saha	Design and Development of a High Performance Biogas Digester for the N-E Region of India 	2002-01-01	2005-01-01	18.9	MNRE 		1	Dr. U. K. Saha
1125	1125	0001000100030003005T	5	0	Design of Mechatronic wheelchair with modular features	Design of Mechatronic wheelchair with modular features	208	16	1	0	/mech/research/projects/208/			0				0	0						Co Investigator(s) : Dr. P. Mahanta, Dr. A. K. De	Design of Mechatronic wheelchair with modular features	2002-01-01	2003-01-01	4.25	Ministry of Social Justice and Empowerment 		1	Dr. S. K. Kakoty
1126	1126	0001000100030003005U	5	0	Development of Twin roll casting technique for manufacture of thin section casting	Development of Twin roll casting technique for manufacture of thin section casting	209	16	1	0	/mech/research/projects/209/			0				0	0						Co Investigator(s) : Dr. U. S. Dixit	Development of Twin roll casting technique for manufacture of thin section casting	2002-01-01	2005-01-01	12.3	DST		1	Dr. P. S. Robi
