"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"Madhusudhana Gavara","Natural convection in a vertical channel with arrays of flush-mounted heaters on opposite conductive walls","2012","Numerical Heat Transfer, Part A","62","-","111","135","0"
"Biswas Pankaj, Mandal N. R. and Sha O.P. ","Numerical and dimensional analysis for prediction of line heating residual deformations","2012","Journal of Marine Science and Application","9","-","14","21","0"
"David Santosh Christopher , P. Rajesh Kanna, G. Madhusudhana, P. Venkumar, H. A. Mohammed","Numerical Investigation of Heat Transfer from Two-Dimensional Sudden Expansion Flow using Nanofluids","2012","Numerical Heat Transfer, Part A","61","-","527","546","0"
"David Santosh Christopher, G. R. Madhusudhana, P. Venkumar, P. Rajesh Kanna, H. A. Mohammed","Numerical investigation on laminar flow due to sudden expansion using nanofluids","2012","Journal of Computational and Theoretical Nanoscience","9","-","2217","2227","8"
"Sharma A., Ranavat V. S., Kulkarni V. N and Saha U. K.","Numerical investigations on flow control over a blended wind body transonic aircraft","2012","Journal of Aircrafts","49","2","532","545","0"
"Sharma AS, Rawat VS, Kulkarni VN, and Saha UK","Numerical Investigations on Flow Control Over a Blended Wing Body Transonic Aircraft Using Synthetic Jet Actuator Arrays","2012","AIAA Journal of Aircraft","49","2","532","545","2"
"S. S. Gautam, and P. M. Dixit","Numerical Simulation of Ductile Fracture in Cylindrical Tube Impacted Against a Rigid Surface","2012","International Journal of Damage Mechanics","21","3","341","371","0"
"D. A. Perumal, G. V. S. Kumar, A. K. Dass","Numerical Simulation of Viscous Flow over a Square Cylinder Using Lattice Boltzmann Method","2012","ISRN Mathematical Physics","2012","-","1","16","0"
"S. Ghosh, A.K. Das, A.A. Vaidya, S.C. Mishra and P.K. Das","Numerical study of dynamics of bubbles using lattice Boltzmann method","2012","Industrial & Engineering Chemistry Research","51","-","6364","6376","1"
"B. Ray, G. Biswas and A. Sharma","Oblique Drop Impact on Deep and Shallow Liquid","2012","Commun. Comput. Phys.","11","-","1386","1396","0"
"Chakraborty, D., Rathore, P. K. and Roy T.","Optimal Actuators Locations in Smart Fibre Reinforced Polymer Structures Using Genetic Algorithm","2012","Applied Mechanics and Materials","110-116","-","1278","1283","0"
"Jagu S. Rao and R. Tiwari","Optimum Design and Analysis of Axial Hybrid Magnetic Bearings Using Multi-Objective Genetic Algorithms.","2012","International Journal for Computational Methods in Engineering Science and Mechanics","13","-","10","27","0"
"H. Sarangi, K.S.R.K. Murthy and D. Chakraborty","Optimum strain gage locations for accurate determination of the mixed mode stress intensity factors","2012","Engineering Fracture Mechanics","88","-","63","78","0"
"S.R. Deepak and G. K. Ananthasuresh","Perfect static balance of linkages by addition of springs but not auxiliary bodies","2012","Journal of Mechanisms and Robotics","4","2","1","12","2"
"Satya Sekhar B, Muthukumar P","Performance Analysis of a Metal Hydride Based Heat Transformer","2012","Int Energy Journal","13","-","29","44","0"
"DN Basu, S Bhattacharyya and PK Das","Performance Comparison of Rectangular and Toroidal Natural Circulation Loops under Steady and Transient Conditions","2012","International Journal of Thermal Sciences","57","-","142","151","3"
"B.Buragohain, P.Mahanta, V.S. Moholkar","Performance correlations for biomass gasifiers using semi-equilibrium non-stoichiometric thermodynamic models","2012","International Journal of Energy Research","36","5","590","618","3"
"S.C. Mishra, M.Y. Kim and S. Maruyama","Performance evaluation of four radiative transfer methods in solving multi-dimensional radiation and/or conduction heat transfer problems","2012","International Journal of Heat and Mass Transfer","55","-","5819","5835","0"
"S.S. Mohapatra, P. Mahanta","Performance evaluation of quality drying in a natural convection grain dryer","2012","Applied Mechanics and Materials","110-116","-","2094","2100","1"
"C. Patel, R. Ganesh Narayanan, Sumitesh Das","Predicting the grain size and strength during friction stir welding by Cellular automata based finite element (CAFE) analysis","2012","International Journal of Advanced Manufacturing Systems","14","2","27","34","0"
"Sanjib Banerjee, P.S. Robi and A. Srinivasan","Prediction of Hot Deformation Behavior of Al–5.9%Cu–0.5%Mg Alloys with Trace Additions of Sn","2012","Journal of Material Science","47","2","929","948","3"
"Susanta Kumar Dey, R. Ganesh Narayanan, G. Saravana  Kumar","Prediction of tensile behavior of DP 590 Steel Tailor Welded Blanks by ANN","2012","Advanced Materials Research","383-390","-","1019","1026","0"
"D. K. Biswal, D. Bandopadhya , and  S. K. Dwivedy","Preparation and experimental investigation of thermo-electro-mechanical behavior of Ag-IPMC Actuator","2012","International Journal of Precision Engineering and Manufacturing","13","5","777","782","1"
"Rajiv Sharma, S Kanagaraj","Prepation and characterization of surfactant coated Ce-Zr nanoparticles and nanofuel","2012","Journal of ASTM International (ASTM Special Technical Publication) ","1567","-","64","78","0"
"Saptarshi Mandal, S Kanagaraj","Reduction of emission in a diesel engine using nanofuel - Ceria nanoparticle dispersed diesel","2012","Journal of ASTM International, (ASTM Special Technical Publication)","1567","-","79","91","0"
"S. K. Dwivedy and B. Pratiher","Reply to the ""Comments on Parametric instability of a cantilever beam with magnetic field and periodic axial load","2012","Journal of Sound and Vibration","331","6","1465","1466","0"
"Abhishek T. Dhumal, R. Ganesh Narayanan, G. Saravana Kumar","Simulation based expert system to predict the tensile and deep drawing behavior of tailor welded blanks","2012","International Journal of Modeling, Identification and Control","15","3","164","172","0"
"A. Banerjee","Simulation of SMA wire actuator behavior under arbitrary thermo-mechanical Loading","2012","Smart Materials and Structures","21","-",,,"0"
"S.R. Deepak and G. Ananthasuresh","Static balancing of a four-bar linkage and its cognates","2012"," Mechanism and Machine Theory","48","-","62","80","2"
"Hegde G. M., Kulkarni V. N,. Nagabhoopathy and Reddy K.P.J","Structure and morphology studies of chromium film at elevated temperature in hypersonic environment","2012","Bulletin of Material Science","35","3","341","345","0"
"J. K. Doley, S.D. Kore","Studies on Temperature Distribution in Electromagnetic Welding Process","2012","ASTM","1","1","73","84","0"
"Madhusudhana Gavara, P. Rajesh Kanna","Study of conjugate natural convection between vertical coaxial rectangular cylinders","2012","International Communications in Heat and Mass Transfer","39","-","904","912","0"
"S.D. Kore, P.N. Vinod, S. Kumar, M. R. Kulkarni","Study of Wavy Interface in Electromagnetic Welds","2012","Key Engineering Materials","504-506","-","729","734","0"
"H. K. Mohanty, M. M. Mahapatra, P. Kumar, Biswas Pankaj and N R Mandal","Study on the effect of tool profiles on temperature distribution and material flow characteristics in friction stir welding","2012","Proc. IMechE Part-B, J. Engineering Manufacture","226","9","1527","1535","1"
"B. Ray, P.D.S. Reddy, D. Bandyopadhyay, A. Sharma, S. Qian and G. Biswas","Surface Instability of a Thin Electrolyte Film Undergoing Coupled Electroosmotic and Electrophoretic Flows in a Microfluidic Channel","2012","Electrophoresis","32","-","3257","3267","2"
"Sekhar BS, Muthukumar P, Saikia R","Tests on a metal hydride based thermal energy storage system","2012","International Journal of Hydrogen Energy","37","-","3818","3824","3"
"Muthukumar P, Singhal A, Bansal GK.","Thermal modeling and performance analysis of industrial-scale metal hydride based hydrogen storage container","2012","International Journal of Hydrogen Energy","37","-","14351","14364","2"
"Muthukumar P, Lakshmi DVN","Thermodynamic analysis of a thermally operated cascade sorption heat pump for continuous cold generation","2012","International Journal of Energy and Environment ","4","1","161","174","0"
"S Bhattacharyya, DN Basu and PK Das","Two-phase Natural Circulation Loops: A Review of the Recent Advances","2012","Heat Transfer Engineering","33","4-5.","461","482","3"
"R. P. Chopade, S.C. Mishra, P. Mahanta, S. Maruyama, and A. Komiya","Uniform thermal conditions on 3-D object: Optimal power estimation of panel heaters in a 3-D radiant enclosure","2012","International Journal of Thermal Sciences","51","1","73","76","2"
"B. Nayak, S. K. Dwivedy and K.S.R.K Murthy","Vibration analysis of a three-layer MRE embedded sandwich beam with conductive skins using FEM, Proceedings of the Institution of Mechanical Engineers","2012","Part C, Journal of Mechanical Engineering Science","227","4","714","729","0"
"B. Nayak, S.K. Dwivedy and K.S.R.K. Murthy","Vibration analysis of a three-layer MRE embedded sandwich beam with conductive skins using finite element method","2012","Proceedings of the Institution of Mechanical Engineers Part C: Journal of Mechanical Engineering Science","227","-","4714","4729","0"
"M. Sivasankar, K. Siva Sankar Reddy, T. Benarjee, S. K. Dwivedy, D. Chakraborty","Wear Analysis of Ace tabular Cup for Daily Activities","2012","Indian Journal of Biomechanics","3","1-2.","13","19","0"
"M. Sivasankar, K. Siva Sankar Reddy, T. Benarjee, S. K. Dwivedy, D. Chakraborty","Wear Analysis of Acetabular Cup for Daily Activities","2012","Indian Journal of  Biomechanics","3","1-2.","13","19","0"
"P. Janaki Ramulu, R. Ganesh Narayanan","Weld zone representation methods during the stretching of friction stir welded blanks with dissimilar sheet thickness: A study using numerical simulations","2012","Materialwissenschaft und Werkstofftechnik","43","3","241","252","1"
"I. Chakraborty, G. Biswas and P.S. Ghoshdastidar","A coupled level-set and volume-of-fluid method for the buoyant rise of gas bubbles in liquids","2013","International Journal of Heat and Mass Transfer","58","-","240","259","1"
"D. Bandopadhya","A Lambert W Function Approach for Solution of Delay Response of an Active Actuator via Pseudo-Rigid Body Modeling Technique","2013","International Journal of Research in Mathematics","1","1","1","7","0"
"B. K. Debnath, N. Sahoo and U. K. Saha","Adjusting the operating characteristics to improve the performance of an emulsified palm oil methyl ester run diesel engine","2013","Energy Conversion and Management","69","-","191","198","4"
"V. Yadav, J. Thakuria, A.K. Singh and U.S. Dixit","An approximate fast finite element analysis of temperature distribution in rolling","2013","Int. J. Mechatronics and Manufacturing Systems","6","4","381","396","0"
"S. S. Gautam, and R. A. Sauer","An Energy-momentum-conserving Temporal Discretization Scheme for Adhesive Contact Problems","2013","International Journal of Numerical Methods in Engineering","93","10","1057","1081","1"
"B. K. Debnath, U. K. Saha UK and N. Sahoo","An experimental way of assessing the application potential of emulsified palm biodiesel towards alternative diesel","2013","Journal of Engineering for Gas Turbines and Power","136","2","1","2","0"
"S.C. Mishra and H. Sahai","Analyses of non-Fourier conduction and radiation  in a  cylindrical medium using lattice Boltzmann method and finite volume method","2013","International Journal of Heat and Mass Transfer","61","-","41","45","2"
"Muthukumar P, Satheesh A","Analysis of crossed vant Hoff metal hydride based heat pump","2013","Int. J. Hydrogen Energy","38","-","11415","11420","0"
"Bhardwaj, S., Dalal, A.","Analysis of Natural Convection Heat Transfer and Entropy Generation inside Porous Right-angled Triangular Enclosure","2013","International Journal of Heat and Mass Transfer","65","-","500","513","1"
"D. A. Perumal, A. K. Dass","Application of Lattice Boltzmann method for incompressible viscous flows","2013","Applied Mathematical Modelling","37","6","4075","4092","1"
"R. Tiwari, D. J. Bordoloi, S. Bansal and S. Sahoo","Application of Wavelet Analysis in Multi-class Fault Diagnosis of Gear using SVM","2013","International Journal of Condition Monitoring & Diagnostic Engineering","16","3","17","24","0"
"P S Rama Sreekanth, S Kanagaraj","Assessment of bulk and surface properties of medical grade UHMWPE based nanocomposites using Nanoindentation and microtensile testing","2013","Journal of the Mechanical Behavior of Biomedical Materials ","18","-","140","151","3"
"P S Rama Sreekanth, N Ravindra Reddy, Mangala Lahkar, S Kanagaraj","Biocompatibility studies on MWCNTs reinforced UHMWPE nanocomposites","2013","Trends in Biomaterials & Artificial Organs","21","-","1","9","0"
"Sarkar, S., Ganguly, S., Dalal, A.","Buoyancy Driven Flow and Heat Transfer of Nanofluids Past a Square Cylinder in Vertically Upward Flow","2013","International Journal of Heat and Mass Transfer","59","-","433","450","2"
"C. Patel, Sumitesh Das, R. Ganesh Narayanan","CAFE modeling, neural network modeling, and experimental investigation of friction stir welding, Proc. of the IMecheE","2013","Part C: Journal of Mechanical Engineering Science","227","6","1164","1176","0"
"Randive, P., Dalal, A.","Capillarity-induced Resonance of Blobs in a 3-D Duct: Lattice Boltzmann Modelling","2013","International Journal of Heat and Mass Transfer","65","-","635","648","0"
"Kalita P., Clifford M., Kalita K., Saha U. K., and Mahanta P.","Characterization and analysis of thermal response of rice husk for gasification applications","2013","Journal of Renewable and Sustainable Energy","5","1","13119","13134","0"
"P.Kalita, M.J.Clifford, K.Jiamjiroch, K.Kalita, P.Mahanta, U.K. Saha","Characterization and analysis of thermal response of rice husk for gasification applications ","2013","Journal of Renewable and Sustainable Energy ","5","1","13119","13134","0"
"B. Ray, G. Biswas, A. Sharma, and S.W.J. Welch","CLSVOF method to study consecutive drop impact on liquid pool","2013","International Journal of Numerical Methods for Heat & Fluid Flow","23","-","141","158","1"
"Roy S, and Saha UK ","Computational Study to Assess the Influence of Overlap Ratio on Static Torque Characteristics of a Vertical Axis Wind Turbine","2013","Procedia Engineering","51","-","694","702","0"
"Girish O., Reddy N., Jammy S. and Kulkarni V. N","Conjugate Heat Transfer Analysis for Hypersonic Flow Over Finite Thickness Flat Plate","2013","Journal of Aerospace Engineering","26","4","708","714","0"
"A. Bhowmik, R. Singh, R. Repaka, S.C. Mishra","Conventional and newly developed bioheat transport models in vascularized tissues: A review","2013","Journal of Thermal Biology","38","-","107","125","2"
"Ghatule P.,  Kore S. D.","Coupled 3D Finite Element Modeling of Electromagnetic Free Expansion of Al Tube","2013","Internaional Journal of Advanced Materials Manufacturing and Characterisation","3","1","95","98","0"
"Likhendra Prasad, Muthukumar P","Design and optimization of labscale sensible heat storage prototype for solar thermal power plant application","2013","Solar Energy","97","-","217","229","0"
"A. Mishra and U.S. Dixit","Determination of thermal diffusivity of the material, absorptivity of the material and laser beam radius during laser forming by inverse heat transfer","2013","Journal of Machining and Forming Technologies","5","3/4.","207","226","0"
"P. Muthukumar, Shyamkumar","Development of a novel porous radiant burner for LPG cooking applications","2013","Fuel","112","-","562","566","0"
"DN Basu, S Bhattacharyya and PK Das","Development of a Unified Model for the Steady-state Operation of Single-phase Natural Circulation Loops","2013","International Journal of Heat and Mass Transfer","62","-","452","462","0"
"R. Kumar and N. Sahoo","Dynamic calibration of K-type coaxial thermocouple for transient measurement","2013","ASME International Journal of Heat Transfer","135","12","1","7","0"
"DN Basu, S Bhattacharyya and PK Das","Dynamic Response of a Single-phase Rectangular Natural Circulation Loop to Different Excitations of Input Power","2013","International Journal of Heat and Mass Transfer","65","-","131","142","0"
"B. Nayak, S.K. Dwivedy and K.S.R.K. Murthy","Dynamic stability of magnetorheological elastomer based adaptive sandwich beam with conductive skins using FEM and the harmonic balance method","2013","International Journal of Mechanical Sciences","77","-","205","216","0"
"P. Kalita,  U. K. Saha, P. Mahanta, ","Effect of biomass blending on hydrodynamics and heat transfer behavior in a pressurized circulating fluidized bed unit","2013","International Journal of Heat and Mass Transfer","60","1","531","541","0"
"Debnath BK, Saha UK, Sahoo N","Effect of Compression Ratio and Injection Timing on the Operating Characteristics of a Diesel Engine Run on Palm Oil Methyl Ester","2013","Proc. of the IMechE, Part–A: Journal of Power and Energy","227","-","368","382","0"
"N. Naresh Kumar, P. S. Rama Sreekanth, S. Kanagaraj","Effect of gamma-irradiation on thermal properties of MWCNTs reinforced high density polyethylene","2013","Advanced Nanomaterials and Nanotechnology","143","-","408","418","0"
"N. Yadaiah and S. Bag","Effect of heat source parameters in thermal and mechanical analysis of linear GTA welding process","2013","ISIJ International","52","11","2069","2075","0"
"S. Arun, S. Kanagaraj","Effect of reinforcement and processing methods in PP/MWCNTs nanocomposites","2013","Advanced Materials Research","747","-","575","578","0"
"A. Sinha, K. A. Raman, H. Chattopadhyay and G. Biswas","Effects of different orientations of winglet arrays on the performance of plate-fin heat exchangers","2013","International Journal of Heat and Mass Transfer","57","-","202","214","1"
"Konwar R. S., Kalita K., Banerjee A., and Khoo W. K. S.","Electromagnetic Analysis of a bridge con-figured winding cage induction machine using finite element method","2013","Progress in Electromagnetics Research B","48","-","347","373","0"
"K. Das and S.C. Mishra","Estimation of tumor characteristics in a breast tissue with known skin surface temperature","2013","Journal of Thermal Biology","38","-","311","317","0"
"A. Trivedi, D. Srinivasan, D. Sharma, C. Singh","Evolutionary Multi-objective Day-Ahead Thermal Generation Scheduling in Uncertain Environment","2013","Power Systems, IEEE ","28","2","1345","1354","0"
"P. Janaki Ramulu, R. Ganesh Narayanan","Experimental evaluation and prediction of forming limit of FSW blanks made of AA 6061 T6 sheets at different weld orientations and weld locations","2013","Materialwissenschaft und Werkstofftechnik","44","6","527","540","0"
"H. Sarangi, K.S.R.K. Murthy and D. Chakraborty","Experimental verification of optimal strain gage locations for the accurate determination of mode I stress intensity factors","2013","Engineering Fracture Mechanics","110","-","189","200","0"
"S. Kapuria, P. Kumari","Extended Kantorovich method for three-dimensional piezoelasticity solution of edge effects in hybrid plates","2013","Proceeding of Royal Society A","469","2151","1471","2946","0"
"Kant R. and  Joshi S.N.","Finite Element Simulation of Laser Assisted Bending with Moving Mechanical Load","2013","International Journal of Mechatronics and Manufacturing Systems (Inderscience)","6","4","351","366","0"
"Kirtania, S. and Chakraborty, D.","Fracture behavior of carbon nanotube-based composites with a broken fiber using multi-scale finite element modeling","2013","Journal of Computational and Theoretical Nanoscience","11","3","676","684","0"
"DN Basu, ND Patil, S Bhattacharyya and PK Das","Hydrodynamics of a Natural Circulation Loop in a Scaled-down Steam Drum-Riser-Downcomer Assembly","2013","Nuclear Engineering and Design","265","-","411","423","0"
"Mukesh Kumar, Satish V. Kailas, R. Ganesh Narayanan","Influence of external weld flash on the in-plane plane-strain formability of friction stir welded sheets","2013","Journal of Strain Analysis for Engineering Design","48","-","376","385","0"
"DN Basu, S Bhattacharyya and PK Das","Influence of Geometry and Operating Parameters on the Stability Response of Single-phase Natural Circulation Loop","2013","International Journal of Heat and Mass Transfer","58","-","322","334","1"
"D. Biswal, D. Bandopadhaya and S.K. Dwivedy","Investigation and evaluation of effect of dehydration on vibration characteristics of silver-electroded ionic polymer–metal composite actuator","2013","Journal of Intelligent Material Systems and Structures","24","10","1197","1212","0"
"Bibin J. and Kulkarni V. N","Investigation for energy deposition technique for drag reduction at hypersonic speeds","2013","Applied Mechanics and Materials","367","-","222","227","0"
"Bora BJ, Debnath BK, Gupta N, Saha UK, and Sahoo N","Investigation on the Flow Behaviour of a Venture Type Gas Mixer for Dual Fuel Diesel Engines","2013","International Journal of Emerging Technology and Advanced Engineering","3","-","202","209","0"
"B. J. Bora, B. K. Debnath, N. Gupta, N. Sahoo and U. K. Saha","Investigation on the flow behaviour of a venturi type gas mixer designed for dual fuel diesel engines","2013","International Journal of Engineering Technology and Advanced Engineering","3","-","202","209","0"
"Karthick Selvam, Muthukumar P, Linder M, Mertz R, Kulenovic R","Measurement of thermochemical properties of some metal hydrides - titanium (Ti), misch metal (Mm) and lanthanum (La) based alloys","2013","Int. J. Hydrogen Energy","38","-","5288","5301","0"
"Sarkar, S., Ganguly, S., Dalal, A., Saha, P., Chakraborty, S.","Mixed Convective Flow Stability of Nanofluids past a Square Cylinder by Dynamic Mode Decomposition","2013","International Journal of Heat and Fluid Flow (in press)","44","-","624","634","0"
"S Samanta and DN Basu","Modeling of a Solar Assisted Water-LiBr Absorption Refrigeration System for Summer Airconditioning of an Office Room","2013","International Journal of Emerging Technology and Advanced Engineering","3","3","368","375","0"
"A. Ghosh, N. Barman, H. Chattopadhyay, and S. Bag","Modelling of heat transfer in submerged arc welding process","2013","Proceedings of IMechE, Part B: Journal of Engineering Manufacture","227","10","1467","1473","0"
"D. Sharma, A. Trivedi, D. Srinivasan, L. Thillainathan","Multi-agent modeling for solving profit based unit commitment problem","2013","Applied soft computing","13","8","3751","3761","0"
"S. Bansal, S. Sahoo, and R. Tiwari and D. J. Bordoloi","Multiclass Fault Diagnosis in Gears Using Support Vector Machine Algorithms Based on Frequency Domain Data.","2013","Measurement","40","-","3469","3481","0"
"L.-M. Armstrong, S.Gu, K.H.Luo, P. Mahanta","Multifluid Modeling of the Desulfurization Process within a Bubbling Fluidized Bed Coal Gasifier","2013","AIChE Journal","59","6","1952","1963","0"
"Satyajit Panda and Gavhane G. Sopan","Nonlinear analysis of smart functionally graded annular sector plates using cylindrically orthotropic piezoelectric fiber reinforced composite","2013","International Journal of Mechanics and Materials in Design","9","-","35","53","1"
"K. Das, R. Singh and S.C. Mishra","Numerical analysis for determination of the presence of a tumor and estimation of its size and location in a tissue","2013","Journal of Thermal Biology","38","-","32","40","2"
"M. Baruah and S. Bag","Numerical modelling of heat transfer and fluid flow in laser microwelding","2013","International Journal of Mechatronics and Manufacturing Systems","6","13","310","334","0"
"Eswaran M, Virk AS, and Saha UK","Numerical Simulation of 2-D and 3-D Sloshing Waves in a Regularly and Randomly Excited Container","2013","Journal of Marine Science and Application","12","-","298","314","0"
"M. Chandrasekaran, M. Muralidhar and U.S. Dixit","Online Optimization of Multipass Machining Based on Cloud Computing","2013","International Journal of Advanced Manufacturing","65","1","239","250","1"
"N. Shanmugapriya, C. Somayaji, S. Kanagaraj","Optimization of Ceria-Zirconia solid solution based on OSC measurement by cyclic heating process","2013","Procedia Engineering","64","-","1235","1241","0"
"D. J. Bordoloi and R. Tiwari","Optimization of Controller Parameters of Active Magnetic Bearings in Rotor-Bearing Systems. ","2013","Advances in Vibration Engineering","12","4","319","327","0"
"V. Waghole and R. Tiwari","Optimization of Needle Roller Bearing Design using Novel Hybrid Methods","2013","Mechanism and Machine Theory","72","-","71","85","0"
"D. J. Bordoloi and R. Tiwari","Optimization of Support Vector Machine based Multi-Fault Classification with Evolutionary Algorithms from the Time Domain Vibration Data of Gears.","2013","Journal of Mechanical Engineering Science","227","11","2428","2439","0"
"N.S.Priya, C. Somayaji, S.Kanagaraj","Oxygen storage capacity of CexZr1-xO2 (0.4?x?0.8) solid solution using thermo-gravimetric analysis","2013","Advanced Materials Research","747","-","579","582","0"
"P. Kalita, U. K. Saha, P. Mahanta","Parametric study on the hydrodynamics and heat transfer along the riser of a pressurized circulating fluidized bed unit","2013","Experimental Thermal and Fluid Science","44","-","620","630","1"
"S. P. Rajagopal, V. Ganesh, A.V. Lanjewar, M. Ravi Sankar, P. Gupta, D. Soren","Past and Current Status of Hybrid Electric Discharge Machining (H-EDM) Processes","2013","International Journal of Advanced Materials Manufacturing and Characterization","3","1","111","118","0"
"Satya Sekhar B, Muthukumar P and Suresh P","Performance investigations of the metal hydride based hydrogen storage devices","2013","Int J Hydrogen Energy","38","-","9570","9577","0"
"Satya Sekhar B, Muthukumar P","Performance tests on a double-stage metal hydride based heat transformer","2013","Int. J. Hydrogen Energy","38","-","15428","15437","0"
"N.K. Mishra, P. Muthukumar, S.C. Mishra","Performance tests on medium-scale porous radiant burners for LPG cooking applications","2013","International  Journal of Emerging Technology and Advanced Engineering","3","-","126","130","0"
"H. K. Mohanty, M. M. Mahapatra, P. Kumar, Biswas P. and N. R. Mandal.","Predicting the effects of tool geometries on friction stirred aluminum welds using artificial neural networks and fuzzy logic techniques","2013","International Journal of Manufacturing Research (IJMR)","8","3","296","312","0"
"Peetala R. K., Sahoo N. and Kulkarni V. N.","Prediction of short duration transient surface heat flux using various analytical techniques","2013","Heat transfer – Asian Research","42","6","530","543","0"
"Mohit Lal and R. Tiwari","Quantification of Multiple Fault Parameters in Flexible Turbo-Generator Systems with Incomplete Rundown Data.","2013","Mechanical Systems and Signal Processing","41","1-2.","546","563","0"
"S. Bag","Recent advances in laser microwelding","2013","KIRAN: A Bulletin of Indian Laser Association","24","2","23","31","0"
"P S Rama Sreekanth, S Kanagaraj","Restricting the ageing degradation of the mechanical properties of gamma irradiated UHMWPE using MWCNTs","2013","Journal of the Mechanical Behavior of Biomedical Materials","21","-","57","66","0"
"Roy S, and Saha UK ","Review of Experimental Investigations into the Design, Performance and Optimization of the Savonius Rotor","2013","Proc. of the IMechE, Part–A: Journal of Power and Energy","227","-","528","542","0"
"Roy S, and Saha UK ","Review on the Numerical Investigations into the Design and Development of Savonius Wind Rotors","2013","Renewable and Sustainable Energy Reviews","24","-","73","83","0"
"N. Yadaiah and S. Bag","Role of oxygen as surface active element in linear GTA welding process","2013","Journal of Materials Engineering and Performance","22","11","3199","3209","0"
"B John, V Kulkarni and G Natarajan","Shock wave-boundary layer interactions in hypersonic flows","2013","International Journal of Heat and Mass Transfer","70","-","81","90","0"
"R.P. Chopade, V. Mohan, R. Mayank, R. Uppaluri and S.C. Mishra","Simultaneous retrieval of parameters in a transient conduction-radiation problem using differential evolution algorithm","2013","Numerical Heat Transfer, Part A","63","-","373","395","0"
"Satya Sekhar B, Muthukumar P","Studies on metal hydride based single-stage heat transformer","2013","Int. J. Hydrogen Energy","38","-","7178","7187","1"
"U. Barman, A.K. Sen, and S. C. Mishra","Theoretical and numerical investigations of an electroosmotic flow micropump with interdigitated electrodes","2013","Microsystem Technologies","20","1","157","168","0"
"B. K. Debnath, N. Sahoo and U. K. Saha","Thermodynamic analysis of a variable compression ratio diesel engine running with palm oil methyl ester","2013","Energy Conversion and Management","65","-","147","154","4"
"P. Kumari, S Kapuria, RKND Rajapakse","Three-dimensional extended Kantorovich solution for Levy-type rectangular laminated plates with edge effects","2013","Composite Structure","107","1","167","176","0"
"D. Soren, P. Gupta, M. Ravi Sankar, S. P. Rajagopal, V. Ganesh, A.V. Lanjewar","Tribomechanical and Tribochemical Wear of Human Dental Enamel","2013","International Journal of Advanced Materials Manufacturing and Characterization","3","1","119","125","0"
"A. Bhowmik, R. Repaka, S.C. Mishra and K. Mitra"," Analysis of radiative signals from normal and malignant human skins subjected to a short-pulse laser","2014","International Journal of Heat and Mass Transfer","68",,"278","294","0"
"S. S. Gautam and R K Saxena","A finite element study on effect of frictional heating in the taylor rod impact problem","2014","World Journal of Engineering","11","6","529","542","0"
"Jitendra Kumar Patel and Ganesh Natarajan","A generic framework for design of interface capturing schemes for multi-fluid flows","2014","Computers and Fluids","106",,"108","118","0"
"Dibakar Bandopadhya","A method to solve and study the time delayed vibration characteristics of smart material actuator applying Lambert W-function, International Journal of Recent Trends in Mechanical Engineering,","2014","International Journal of Recent Trends in Mechanical Engineering,","1","1","1","8","0"
"Debaleena Chakraborty, K.S.R.K. Murthy and D. Chakraborty ","A new single strain gage technique for the accurate determination of mode I stress intensity factor in orthotropic composite materials","2014","Engineering Fracture Mechanics","124-125",,"142","154","0"
"D.N. Basu, S. Bhattacharyya, P.K. Das","A Review of Modern Advances in Analyses and Applications of Single-phase Natural Circulation Loop","2014","Nuclear Engineering and Design","280",,"326","348","0"
"M.K.S. Sarkar, A.K. Tilak, D.N. Basu","A State-of-the-art Review of Recent Advances in Supercritical Natural Circulation Loops for Nuclear Applications","2014","Annals of Nuclear Energy","73",,"250","263","0"
"Jagannath Sardar, Dibakar Bandopadhya","A Stress Distribution Model along the Tooth Mating Surface of a Non-Metallic Spur Gear using the Hertz's Contact Theorem, ","2014","Trends in Machine design","1","2","23","32","0"
"Mertens, A.J., Senthilvelan, S.","Abrasive wear performance of CNT/PP composites","2014","Applied Mechanics and Materials","592",,"1262","1266","0"
"C. Loha, S. Gu, J. De Wilde, P. Mahanta, P.K. Chatterjee ","Advances in mathematical modeling of fluidized bed gasification","2014","Renewable and Sustainable Energy Reviews","40",,"688","715","0"
"S Roy and U K Saha","An adapted blockage factor correlation approach in wind tunnel experiments of a Savonius-style wind turbine.","2014","Energy Conversion and Management ","86",,"418","427","0"
"B K Debnath, U K Saha and N Sahoo","An experimental way of assessing the application potential of emulsified palm biodiesel towards alternative to diesel.","2014","ASME Journal of Engineering for Gas Turbines and Power","136",,"021401-1","021401-12","0"
"A.K.De","An implicit non-staggered Cartesian grid method for incompressible viscous flows in complex geometries","2014","Sadhana, Indian Academy of Science","39","5","1071","1094","0"
"Dillip Kumar Biswal, Dibakar Bandopadhya","An Intelligent Computer-Aided Assembly Process Planning Methodology for Mechanical Parts","2014","International Journal of Recent Trends in Mechanical Engineering,","2","2","1","8","0"
"S Kirtania and D Chakraborty","Analysis of carbon nanotube-reinforced alumina matrix nanocomposites with a broken fiber","2014","Journal of Reinforced Plastics and Composites","33","4","389","398","0"
